Rank,Species,wtd_rf,rfpc
1,Curlew Sandpiper,1.0,100.0
2,Great Crested Tern,1.0,100.0
3,Sooty Tern,1.0,100.0
4,Bridled Tern,1.0,100.0
5,Sanderling,1.0,100.0
6,Red-necked Stint,1.0,100.0
7,Little Tern,1.0,100.0
8,Gull-billed Tern,1.0,100.0
9,Red Knot,1.0,100.0
10,Ruddy Turnstone,1.0,100.0
11,Common Greenshank,1.0,100.0
12,Gray-tailed Tattler,1.0,100.0
13,Terek Sandpiper,1.0,100.0
14,Black Noddy,1.0,100.0
15,Roseate Tern,1.0,100.0
16,Bar-tailed Godwit,1.0,100.0
17,Greater Sand-Plover,1.0,100.0
18,Little Egret,1.0,100.0
19,Pacific Reef-Heron,1.0,100.0
20,Masked Booby,1.0,100.0
21,Brown Booby,1.0,100.0
22,Far Eastern Curlew,1.0,100.0
23,Brown Noddy,1.0,100.0
24,sand-plover sp.,1.0,100.0
25,Eurasian Whimbrel,1.0,100.0
26,Lesser Frigatebird,1.0,100.0
27,Whiskered Tern,0.0,0.0
28,Caspian Tern,0.0,0.0
29,Red-footed Booby,0.0,0.0
30,White-winged Tern,0.0,0.0
31,Nankeen Night Heron,0.0,0.0
32,Common Tern,0.0,0.0
33,Great Frigatebird,0.0,0.0
34,Buff-banded Rail,0.0,0.0
35,Lesser Noddy,0.0,0.0
36,Oriental Pratincole,0.0,0.0
37,Pied Oystercatcher,0.0,0.0
38,Black-bellied Plover,0.0,0.0
39,Pacific Golden-Plover,0.0,0.0
40,Oriental Plover,0.0,0.0
41,Siberian Sand-Plover,0.0,0.0
42,Tibetan Sand-Plover,0.0,0.0
43,Siberian/Tibetan Sand-Plover,0.0,0.0
44,Little Curlew,0.0,0.0
45,Black-tailed Godwit,0.0,0.0
46,Asian Dowitcher,0.0,0.0
47,Common Sandpiper,0.0,0.0
48,Marsh Sandpiper,0.0,0.0
49,Great Knot,0.0,0.0
50,Broad-billed Sandpiper,0.0,0.0
51,Sharp-tailed Sandpiper,0.0,0.0
52,Pied Stilt,0.0,0.0
53,Little Stint,0.0,0.0
54,Great Egret,0.0,0.0
